dog breed name:Saint Bernard, size:Giant, slug:saint-bernard
dog breed name:Bully Kutta, size:Giant, slug:bully-kutta
dog breed name:Newfoundland, size:Giant, slug:newfoundland
dog breed name:French Mastiff, size:Giant, slug:french-mastiff
dog breed name:Akbash, size:Giant, slug:akbash
dog breed name:Bernese Mountain Dog, size:Giant, slug:bernese-mountain-dog
dog breed name:Bull Mastiff, size:Giant, slug:bull-mastiff
dog breed name:Boerboel, size:Giant, slug:boerboel
dog breed name:Tibetan Mastiff, size:Giant, slug:tibetan-mastiff
dog breed name:Central Asian Shepherd Dog, size:Giant, slug:central-asian-shepherd-dog
dog breed name:Irish Wolfhound, size:Giant, slug:irish-wolfhound
dog breed name:Spanish Mastiff, size:Giant, slug:spanish-mastiff
dog breed name:Kuvasz, size:Giant, slug:kuvasz
dog breed name:Moscow Guard, size:Giant, slug:moscow-guard
dog breed name:Greater Swiss Mountain Dog, size:Giant, slug:greater-swiss-mountain-dog
dog breed name:Scottish Deerhound, size:Giant, slug:scottish-deerhound
dog breed name:Kangal Shepherd Dog, size:Giant, slug:kangal-shepherd-dog
dog breed name:Tosa Inu, size:Giant, slug:tosa-inu
dog breed name:Giant Schnauzer, size:Giant, slug:giant-schnauzer
dog breed name:South Russian Shepherd Dog, size:Giant, slug:south-russian-shepherd-dog
dog breed name:Borzoi, size:Giant, slug:borzoi
dog breed name:Leonberger, size:Giant, slug:leonberger
dog breed name:Pyrenean Mastiff, size:Giant, slug:pyrenean-mastiff
dog breed name:Komondor, size:Giant, slug:komondor
dog breed name:Caucasian Shepherd Dog, size:Giant, slug:caucasian-shepherd-dog
